officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Nirmala Sitaraman,Q7040049-0,0,Q7040049,D:__department__>Ministry of Corporate Affairs,0,2014-05-27,2014-11-09,1_Upload_1782.pdf,33,1_Upload_10.pdf,19,Minister of State,['Q3629480-8'],[],"[('1_Upload_1782.pdf', 33), ('1_Upload_1170.pdf', 32), ('1_Upload_10.pdf', 19)]"
Nirmala Sitaraman,Q7040049-1,1,Q7040049,D:__department__>Ministry of Finance,0,2014-05-27,2014-11-09,1_Upload_1782.pdf,33,1_Upload_10.pdf,19,Minister of State,['Q3629480-13'],[],"[('1_Upload_1782.pdf', 33), ('1_Upload_1170.pdf', 32), ('1_Upload_10.pdf', 19)]"
Nirmala Sitaraman,Q7040049-2,2,Q7040049,D:__department__>Ministry of Commerce and Industry,0,2014-05-27,2017-09-03,1_Upload_1782.pdf,33,1_Upload_1266.pdf,26,Minister of State (Independent Charge),[],[],"[('1_Upload_1782.pdf', 33), ('1_Upload_1170.pdf', 32), ('1_Upload_1171.pdf', 38), ('1_Upload_1176.pdf', 38), ('1_Upload_1177.pdf', 38), ('1_Upload_1178.pdf', 38), ('1_Upload_230.pdf', 37), ('1_Upload_229.pdf', 36), ('1_Upload_1.pdf', 35), ('1_Upload_1195.pdf', 34), ('1_Upload_1211.pdf', 34), ('1_Upload_1215.pdf', 34), ('1_Upload_1235.pdf', 34), ('1_Upload_1249.pdf', 33)]"
Nirmala Sitaraman,Q7040049-3,3,Q7040049,D:__department__>Ministry of Defence,0,2017-09-03,2019-05-30,1_Upload_1266.pdf,26,,-1,Cabinet Minister,[],['Q16727503-0'],"[('1_Upload_1266.pdf', 26), ('1_Upload_1269.pdf', 7), ('1_Upload_1387.pdf', 25), ('1_Upload_1392.pdf', 25), ('1_Upload_1421.pdf', 25), ('1_Upload_1495.pdf', 25), ('1_Upload_1516.pdf', 25), ('1_Upload_1733.pdf', 24), ('1_Upload_1763.pdf', 24), ('1_Upload_1787.pdf', 24), ('1_Upload_1807.pdf', 24)]"
Nirmala Sitaraman,Q7040049-4,4,Q7040049,D:__department__>Ministry of Corporate Affairs,0,2019-05-31,to_date,1_Upload_1859.pdf,5,,-1,Cabinet Minister,[],"['Q4777895-0', 'Q7293676-10']","[('1_Upload_1859.pdf', 5), ('1_Upload_1873.pdf', 5), ('1_Upload_1943.pdf', 5), ('1_Upload_2388.pdf', 5), ('1_Upload_2398.pdf', 5), ('1_Upload_2405.pdf', 5), ('1_Upload_2447.pdf', 5), ('1_Upload_2606.pdf', 5), ('1_Upload_3158.pdf', 4), ('1_Upload_3297.pdf', 4)]"
Nirmala Sitaraman,Q7040049-5,5,Q7040049,D:__department__>Ministry of Finance,0,2019-05-31,to_date,1_Upload_1859.pdf,5,,-1,Cabinet Minister,[],"['Q4777895-1', 'Q7131282-0', 'Q87670923-0']","[('1_Upload_1859.pdf', 5), ('1_Upload_1873.pdf', 5), ('1_Upload_1943.pdf', 5), ('1_Upload_2388.pdf', 5), ('1_Upload_2398.pdf', 5), ('1_Upload_2405.pdf', 5), ('1_Upload_2447.pdf', 5), ('1_Upload_2606.pdf', 5), ('1_Upload_3158.pdf', 4), ('1_Upload_3297.pdf', 4)]"
Nityanand Kanungo,Q7041597-0,0,Q7041597,D:__department__>Ministry of Commerce and Industry,0,1954-10-08,1956-06-13,1_Upload_2964.pdf,0,1_Upload_3096.pdf,1,Deputy Minister,"['Q113290091-0', 'Q3532094-0']",[],"[('1_Upload_2964.pdf', 0)]"
Nityanand Kanungo,Q7041597-1,1,Q7041597,D:__department__>Ministry of Commerce and Industry>Department of Cottage Industries,0,1954-10-08,1956-06-13,1_Upload_2964.pdf,0,1_Upload_3096.pdf,1,Deputy Minister,[],[],"[('1_Upload_2964.pdf', 0)]"
Nityanand Kanungo,Q7041597-10,10,Q7041597,D:__department__>Ministry of Cultural Affairs,0,1964-06-09,1964-06-14,1_Upload_2004.pdf,17,1_Upload_2913.pdf,2,Minister of State,[],[],"[('1_Upload_2004.pdf', 17), ('1_Upload_2913.pdf', 2)]"
Nityanand Kanungo,Q7041597-11,11,Q7041597,D:__department__>Ministry of Civil Aviation,0,1964-06-14,1966-01-11,1_Upload_2913.pdf,2,,-1,Minister of State,[],[],"[('1_Upload_2913.pdf', 2), ('1_Upload_2907.pdf', 17), ('1_Upload_2908.pdf', 18), ('1_Upload_2909.pdf', 18)]"
