officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Bhanu Prakash Singh,Q104666566-3,3,Q104666566,D:__department__>Ministry of Industrial Development and Internal Trade,0,1969-02-14,1970-06-28,1_Upload_2833.pdf,26,1_Upload_2826.pdf,17,Deputy Minister,['Q317778-6'],[],"[('1_Upload_2833.pdf', 26), ('1_Upload_2841.pdf', 50), ('1_Upload_2842.pdf', 43), ('1_Upload_2840.pdf', 45), ('1_Upload_2826.pdf', 17)]"
Bhanu Prakash Singh,Q104666566-4,4,Q104666566,D:__department__>Ministry of Chemicals and Fertilisers,0,1970-06-28,1970-09-01,1_Upload_2826.pdf,17,1_Upload_2832.pdf,0,Deputy Minister,['Q7841910-3'],[],"[('1_Upload_2826.pdf', 17), ('1_Upload_2822.pdf', 50), ('1_Upload_2832.pdf', 0)]"
Bhanu Prakash Singh,Q104666566-5,5,Q104666566,D:__department__>Ministry of Mines and Metals,0,1970-06-28,1970-09-01,1_Upload_2826.pdf,17,1_Upload_2832.pdf,0,Deputy Minister,['Q7841910-2'],[],"[('1_Upload_2826.pdf', 17), ('1_Upload_2822.pdf', 50), ('1_Upload_2832.pdf', 0)]"
Bhanu Prakash Singh,Q104666566-6,6,Q104666566,D:__department__>Ministry of Petroleum,0,1970-06-28,1970-09-01,1_Upload_2826.pdf,17,1_Upload_2832.pdf,0,Deputy Minister,['Q7841910-4'],[],"[('1_Upload_2826.pdf', 17), ('1_Upload_2822.pdf', 50), ('1_Upload_2832.pdf', 0)]"
Bhanu Prakash Singh,Q104666566-7,7,Q104666566,D:__department__>Ministry of Agriculture,0,1977-08-14,1979-01-26,1_Upload_2640.pdf,18,1_Upload_2455.pdf,39,Minister of State,['Q3534319-0'],[],"[('1_Upload_2640.pdf', 18), ('1_Upload_2635.pdf', 38), ('1_Upload_2453.pdf', 36)]"
Bhanu Prakash Singh,Q104666566-8,8,Q104666566,D:__department__>Ministry of Irrigation,0,1979-01-26,1979-07-28,1_Upload_2455.pdf,39,,-1,Minister of State,[],[],"[('1_Upload_2455.pdf', 39)]"
Bhanu Prakash Singh,Q104666566-9,9,Q104666566,D:__department__>Ministry of Rural Development,0,1979-07-30,1980-01-14,1_Upload_2153.pdf,19,,-1,Minister of State (Independent Charge),[],[],"[('1_Upload_2153.pdf', 19), ('1_Upload_2454.pdf', 36)]"
P. Ankineedu Prasada Rao,Q104696553-0,0,Q104696553,D:__department__>Ministry of Civil Aviation,0,1979-08-13,1979-08-16,1_Upload_2462.pdf,0,1_Upload_2452.pdf,30,Minister of State,[],[],"[('1_Upload_2462.pdf', 0)]"
P. Ankineedu Prasada Rao,Q104696553-1,1,Q104696553,D:__department__>Ministry of Tourism,0,1979-08-13,1979-08-16,1_Upload_2462.pdf,0,1_Upload_2452.pdf,30,Minister of State,[],[],"[('1_Upload_2462.pdf', 0)]"
P. Ankineedu Prasada Rao,Q104696553-2,2,Q104696553,D:__department__>Ministry of Civil Aviation and Tourism,0,1979-08-16,1979-11-28,1_Upload_2452.pdf,30,1_Upload_2473.pdf,1,Minister of State,['Q6892413-6'],[],"[('1_Upload_2452.pdf', 30), ('1_Upload_2454.pdf', 32), ('1_Upload_2473.pdf', 1)]"
Jawaharlal Nehru,Q1047-0,0,Q1047,D:__department__>Ministry of Commonwealth Relations,0,1947-08-15,1950-01-26,1_Upload_2027.pdf,0,1_Upload_2025.pdf,0,Prime Minister,[],['Q18385307-0'],"[('1_Upload_2027.pdf', 0)]"
Jawaharlal Nehru,Q1047-1,1,Q1047,D:__department__>Ministry of External Affairs,0,1947-08-15,1952-05-13,1_Upload_2027.pdf,0,,-1,Prime Minister,[],['Q18385307-1'],"[('1_Upload_2027.pdf', 0), ('1_Upload_2025.pdf', 0), ('1_Upload_2026.pdf', 0)]"
Jawaharlal Nehru,Q1047-10,10,Q1047,D:__department__>Ministry of External Affairs,0,1962-04-10,1964-05-27,1_Upload_2002.pdf,0,,-1,Prime Minister,[],"['Q5278104-0', 'Q6479884-1']","[('1_Upload_2002.pdf', 0), ('1_Upload_2922.pdf', 0), ('1_Upload_2924.pdf', 0), ('1_Upload_2925.pdf', 0), ('1_Upload_2926.pdf', 0), ('1_Upload_2927.pdf', 0), ('1_Upload_2928.pdf', 0), ('1_Upload_2893.pdf', 0), ('1_Upload_2894.pdf', 0)]"
Jawaharlal Nehru,Q1047-2,2,Q1047,D:__department__>Ministry of Scientific Research,0,1947-08-15,1952-05-13,1_Upload_2027.pdf,0,,-1,Prime Minister,[],[],"[('1_Upload_2027.pdf', 0), ('1_Upload_2025.pdf', 0), ('1_Upload_2026.pdf', 0)]"
